time,L1-icache-loads,L1-icache-load-misses
0.025069665,2923289,7436
0.050174540,5354875,9500
0.075262895,3457075,9498
0.100352030,5937353,8865
0.125438155,3090173,8129
0.150534770,8313457,9039
0.175648535,4175507,10490
0.200749460,3727471,9965
0.225837275,3733195,9793
0.250927641,3676184,9918
0.276015507,13163646,7875
0.301103372,4183545,10438
0.326191148,3574669,9472
0.351279363,3520744,9784
0.376367808,3517302,9539
0.401455593,3427526,9709
0.426543378,3579644,10162
0.451629383,3159122,8740
0.476717278,3472939,9416
0.501805633,14638857,7085
0.526893660,11512382,9337
0.551981575,3813291,10032
0.577067630,3615103,9847
0.602153775,3523784,9877
0.627241450,3359744,9076
0.652329286,3616805,10081
0.677415371,3576214,9814
0.702501566,3729033,9960
0.727588291,3653943,10130
0.752688956,3725762,10078
0.777781621,3390261,9172
0.802875768,3510894,9676
0.827963693,3458711,9515
0.853051638,3407583,9201
0.878139763,3451285,9258
0.903227678,3390136,9487
0.928315693,3430793,9464
0.953403658,3500827,9749
0.978491483,11859775,6963
1.003579278,31794017,3624
1.028668703,4502070,16200
1.053756469,3548569,13141
1.078844215,3660982,13385
1.103933351,3560185,12843
1.129021016,3591130,13031
1.154107981,3537692,12891
1.179184616,2990884,10618
1.204272521,21410,24
1.229359636,33647,22
1.254445721,34652,54
1.279533066,30902,15
1.304619051,32272,26
1.329695126,42056,12
1.333563607,6026898,304
