time,L1-icache-loads,L1-icache-load-misses
0.025060422,7637102,12585
0.050163973,23770,69
0.075251605,14301,57
0.100340196,52969,114
0.125432828,29296,54
0.150520469,28317,31
0.175606790,24843,53
0.200694331,40785,54
0.225780422,29316,48
0.250867324,16692,41
0.275954446,29078,38
0.301040177,36369,88
0.326127709,27013,47
0.351213800,25326,65
0.376301592,37951,36
0.401387733,29122,62
0.426477285,18094,58
0.451565606,30713,45
0.476651698,17910,19
0.501739220,36247,52
0.526825191,38764,75
0.551912893,36507,65
0.576998984,29222,65
0.602086055,23613,39
0.627172986,28749,76
0.652259148,19031,36
0.677346709,35037,28
0.702433030,29536,65
0.727520722,33216,48
0.752606854,24439,41
0.777694515,126031,83
0.802789307,27137,50
0.827875448,19911,40
0.852962480,31928,47
0.878048611,29520,65
0.903136153,30342,41
0.928222714,30854,42
0.953310476,125309,65
0.978397848,26564,38
1.003483959,21176,56
1.028571791,32503,33
1.053658122,30294,48
1.078745963,29351,40
1.103832324,27278,35
1.128920575,122057,60
1.154007757,28152,43
1.179093848,28284,54
1.204181530,31814,42
1.229267771,28812,47
1.254355423,33110,52
1.277009998,800131,1995
