time,L1-icache-loads,L1-icache-load-misses
0.025058026,1507699,4659
0.050147691,4606745,10465
0.075215116,4515081,9428
0.100287293,5694835,9328
0.125355238,3355557,9371
0.150419343,3408699,9561
0.175483218,8369816,9719
0.200547605,3380750,9615
0.225627750,3385749,9403
0.250717296,3423907,9519
0.275805421,3179296,8750
0.300891686,12862038,8218
0.325979781,3800437,10026
0.351067808,3515314,9087
0.376154043,3330604,9496
0.401240338,3186216,9059
0.426328193,3252811,9247
0.451414389,2928074,8829
0.476502124,3160271,9235
0.501590160,3064369,8943
0.526677955,3117075,8936
0.551766040,7737739,7967
0.576855205,17430077,7736
0.601944222,3396570,9178
0.627030277,3297601,9168
0.652116592,3096623,8565
0.677204477,3514143,9408
0.702292443,3597567,9230
0.727379018,3457887,9744
0.752477354,3613356,9743
0.777563470,3418090,9467
0.802651265,3226748,8821
0.827737480,3198322,8984
0.852825325,3271267,8995
0.877911542,3288243,9252
0.902999557,3341132,9236
0.928087562,3376370,9307
0.953175407,3399468,9323
0.978261682,3188179,9131
1.003348068,3343060,9325
1.028435864,3399580,9299
1.053523779,3338627,9261
1.078611674,3381339,9318
1.103699839,27401681,4197
1.128788455,16120888,7792
1.153876391,3402825,9265
1.178964136,3518637,9494
1.204052031,3514784,9406
1.229138376,3450796,9583
1.254225702,3505226,9328
1.279313517,3551997,9919
1.304401424,3142559,8796
1.329489449,97855,69
1.354575614,29051,13
1.379661769,27957,33
1.404749475,33320,12
1.429835651,27187,9
1.454923386,41529,18
1.461545340,10881578,550
