time,L1-icache-loads,L1-icache-load-misses
0.025069531,5904918,11381
0.050173052,39630,101
0.075261164,192325,96
0.100349115,28434,109
0.125435447,25441,40
0.150522637,35928,97
0.175608908,27604,124
0.200696610,36583,91
0.225783331,31564,121
0.250871213,126242,87
0.275958433,26792,85
0.301044644,27892,148
0.326132316,32366,101
0.351218747,28337,149
0.376306538,30068,114
0.401392809,26535,110
0.426480720,119507,116
0.451568302,27198,121
0.476654713,22298,141
0.501742373,33501,119
0.526828615,29410,159
0.551916256,44197,183
0.577002418,25370,109
0.602090289,81199,145
0.627176489,28068,110
0.652262941,24394,209
0.677350542,42033,149
0.702436814,30114,158
0.727524485,27009,84
0.752610815,26394,114
0.777705637,57619,96
0.802791778,28767,99
0.827877940,26640,196
0.852965600,30878,92
0.878051952,22294,110
0.903139603,40264,110
0.928225875,26199,130
0.953313536,47074,69
0.978399838,28392,111
1.003486227,27358,308
1.028573629,28892,113
1.053659821,21743,92
1.078747432,36567,94
1.103833613,27025,107
1.128921473,40738,165
1.154007675,31098,88
1.179094677,29871,369
1.204182068,28465,75
1.229268138,22943,97
1.254355710,35495,78
1.268420342,1303220,7846
