time,L1-icache-loads,L1-icache-load-misses
0.025069211,8707100,13262
0.050173102,32908,55
0.075260653,16052,81
0.100348064,33441,47
0.125434216,53180,288
0.150521867,31273,67
0.175607969,26704,57
0.200695441,43861,83
0.225781582,29916,73
0.250868583,17986,52
0.275955624,31180,48
0.301041745,32532,113
0.326129487,29323,67
0.351215568,35527,156
0.376303170,41637,63
0.401389341,30943,56
0.426476332,18687,46
0.451563263,31279,47
0.476649654,33183,131
0.501737156,29165,64
0.526823207,28334,76
0.551910719,37966,74
0.576996661,29615,50
0.602083582,23600,34
0.627170383,32994,50
0.652256324,22068,27
0.677343855,37812,42
0.702430107,29253,51
0.727517518,36875,63
0.752603460,28732,62
0.777697881,127597,68
0.802784822,29628,61
0.827870973,21485,31
0.852958594,35084,53
0.878044756,29603,82
0.903132117,33751,66
0.928218399,26255,43
0.953305940,119398,56
0.978392932,23428,70
1.003479012,22845,53
1.028566443,35660,57
1.053652395,30029,55
1.078739887,31577,59
1.103825968,28108,44
1.128913600,124627,46
1.154000691,31068,47
1.179086612,24641,30
1.204174143,34856,52
1.229260194,31326,61
1.254347606,36258,52
1.277612977,792524,2129
