time,L1-icache-loads,L1-icache-load-misses
0.025069621,3229187,7566
0.050175761,4642974,6736
0.075264761,2927986,6594
0.100352942,5133136,6588
0.125440952,2894944,6540
0.150528912,7459422,5963
0.175616954,2851218,6506
0.200697923,2891061,6652
0.225787205,2927134,6462
0.250871245,2892933,6531
0.275936456,2826729,6547
0.301014306,12071077,5675
0.326104397,2925902,6810
0.351192348,2826633,6541
0.376280227,2901231,6505
0.401368089,2801952,6550
0.426455969,2850971,6562
0.451543750,2949786,7041
0.476631660,2970325,6986
0.501719441,2953255,6889
0.526807092,2916817,6389
0.551895121,3625404,6655
0.576983363,20664829,4206
0.602073673,2925698,6431
0.627161214,2827483,6564
0.652249814,2882538,6766
0.677337544,2819815,6407
0.702425405,2869193,6658
0.727513065,2886198,6632
0.752609896,2951307,7022
0.777697786,2974093,7209
0.802785586,2891110,6952
0.827873378,2983202,6519
0.852961008,2867275,6394
0.878048659,2897546,6348
0.903136329,2831658,6473
0.928224120,2889903,6565
0.953311790,2842372,6651
0.978399501,3014931,7109
1.003487532,1256941,2376
1.028574082,29175,36
1.053660973,15218,56
1.078748103,31021,12
1.103834344,29886,27
1.128921804,29858,8
1.151784028,13233531,3675
