time,L1-icache-loads,L1-icache-load-misses
0.025069677,2240606,6323
0.050175693,4967781,10464
0.075264439,4067124,10265
0.100352796,5836217,10116
0.125440593,3380239,9979
0.150530739,7959910,9150
0.175628975,3903387,10969
0.200731061,3381829,10120
0.225819118,3376563,10334
0.250907165,3040080,9325
0.275996000,8904607,8419
0.301084477,7543595,10630
0.326172364,3227077,9738
0.351260810,3192897,9598
0.376347086,3109708,9335
0.401435122,3110823,9419
0.426523019,3193170,9742
0.451610825,3039958,9241
0.476698761,3351471,10254
0.501786688,3338597,10350
0.526874365,3381501,10509
0.551960660,20138247,5617
0.577052477,5505342,12251
0.602140164,3102466,9368
0.627227951,3299267,9761
0.652314126,3270665,9989
0.677401892,3274942,9825
0.702489659,3209701,9952
0.727577526,3171141,9949
0.752675091,3205851,9657
0.777761158,3023444,9308
0.802847385,3143339,9592
0.827935120,3173580,9762
0.853022987,3201836,9723
0.878109144,3204209,10031
0.903196891,3313837,9943
0.928284726,3168955,9380
0.953372643,3481357,10332
0.978458889,3421722,10619
1.003546736,3431283,10472
1.028634452,3484046,10714
1.053720648,3451883,10613
1.078807795,12904178,9159
1.103897962,30166509,3647
1.128988927,4529721,12828
1.154076674,3383939,10264
1.179162811,3179053,9966
1.204250476,3151950,9815
1.229336563,3107968,9573
1.254424400,3109137,9769
1.279512096,3131623,9834
1.304774331,2646534,7580
1.329862077,15690,10
1.354949044,33517,22
1.380035241,31654,15
1.405122897,32148,11
1.430209193,29604,9
1.455465769,2692775,57
1.457421748,2994342,223
