time,L1-icache-loads,L1-icache-load-misses
0.025057961,8519990,13529
0.050145621,43149,66
0.075214563,14445,67
0.100279965,32105,43
0.125342834,34220,114
0.150407646,27762,55
0.175469756,26028,53
0.200533178,41300,59
0.225608279,27551,37
0.250695199,17300,23
0.275782241,28698,48
0.300868451,35788,73
0.325956012,26452,56
0.351042163,25148,65
0.376130443,36621,56
0.401216725,27207,62
0.426303635,24101,63
0.451390616,29212,42
0.476476886,18272,40
0.501564498,37056,77
0.526650779,25972,73
0.551738159,34193,49
0.576824271,27400,71
0.601911271,64735,44
0.626998242,21765,60
0.652084232,19794,37
0.677173853,53296,58
0.702265615,27419,50
0.727353085,32662,23
0.752439226,24406,51
0.777526986,123746,58
0.802622128,37446,95
0.827708169,20186,51
0.852795539,32132,63
0.877881761,29555,63
0.902969290,29517,36
0.928055592,52620,44
0.953143323,126421,63
0.978230393,28638,47
1.003316525,21332,29
1.028404305,29744,86
1.053490356,30408,51
1.078578697,29006,28
1.103664988,24695,43
1.128752609,90280,59
1.153843879,29128,51
1.178930111,26084,34
1.204017601,31500,50
1.229103412,29079,75
1.254191063,28385,38
1.268641173,1056488,3952
