time,L1-icache-loads,L1-icache-load-misses
0.025069991,6100997,11263
0.050173373,47433,94
0.075261654,129653,67
0.100349176,29608,42
0.125435237,26877,54
0.150523109,34938,31
0.175609201,27906,48
0.200696782,32926,59
0.225783454,25919,30
0.250870865,136554,50
0.275957977,27576,47
0.301045388,20856,26
0.326134480,36332,78
0.351220562,38614,58
0.376308353,30361,31
0.401394565,24983,51
0.426482266,119137,77
0.451569688,26944,60
0.476655669,21770,41
0.501743071,33979,51
0.526829073,28611,75
0.551916644,27569,57
0.577002606,25478,35
0.602090097,86885,52
0.627175969,29100,32
0.652262140,23476,37
0.677349652,33824,50
0.702435723,30040,52
0.727523135,26883,38
0.752609137,26950,55
0.777696578,62875,49
0.802789740,28227,76
0.827875921,24400,45
0.852963443,28723,62
0.878049574,21197,61
0.903137396,37977,88
0.928223548,25808,43
0.953311309,50483,29
0.978397511,28273,51
1.003483802,28612,60
1.028571384,39450,86
1.053657415,21861,33
1.078744587,36086,51
1.103830838,26410,38
1.128918340,42005,35
1.154004472,34718,76
1.179091583,29597,115
1.204179205,31469,48
1.229265276,24350,57
1.254352848,36266,65
1.260164775,<not counted>,<not counted>
