time,L1-icache-loads,L1-icache-load-misses
0.025069240,3232607,7381
0.050175482,4682730,6608
0.075264072,2875872,6305
0.100352403,5191428,6238
0.125440433,2870953,6433
0.150528413,7466277,5950
0.175619114,2922423,6530
0.200712954,2886111,6532
0.225803196,2929592,6453
0.250891135,2880945,6399
0.275979057,2858777,6312
0.301066957,12072183,5347
0.326155077,2936899,6495
0.351242958,2860313,6314
0.376330878,2920489,6380
0.401419029,2799385,6414
0.426507019,2920829,6637
0.451595161,2866168,6538
0.476683301,2911211,6661
0.501771211,2853675,6633
0.526859142,2912504,6501
0.551948142,3671962,6377
0.577036553,20467966,4076
0.602125313,2966866,6653
0.627214013,2866169,6399
0.652301744,2924744,6487
0.677389394,2872498,6364
0.702477086,2920743,6415
0.727565025,2863669,6347
0.752661657,2931814,6518
0.777749487,2844348,6336
0.802838877,2881261,6499
0.827926768,2872819,6374
0.853014588,2859478,6496
0.878102640,2885524,6548
0.903190369,2813692,6516
0.928278291,2864911,6734
0.953366941,2852203,6429
0.978454801,2951280,6464
1.003543552,3144878,3112
1.028630022,39473,15
1.053716373,27541,75
1.078804323,31124,22
1.103890685,22980,6
1.128978645,42515,16
1.151637389,10760132,2536
