time,L1-icache-loads,L1-icache-load-misses
0.025058542,5621463,10675
0.050159832,29641,42
0.075238733,179542,37
0.100325705,29256,46
0.125411716,20878,39
0.150499406,34215,43
0.175585728,28608,60
0.200673239,29582,37
0.225759431,27383,47
0.250846823,93350,39
0.275942052,27308,50
0.301028274,23206,46
0.326115735,30995,54
0.351201867,29245,66
0.376289368,27666,43
0.401375528,28301,48
0.426462990,66647,41
0.451549111,28781,58
0.476635262,24259,56
0.501722763,30186,34
0.526808984,24955,18
0.551896656,38967,39
0.576982808,27365,58
0.602070278,57930,25
0.627156339,27471,53
0.652242340,26543,90
0.677329892,29611,48
0.702416012,25067,59
0.727503313,37852,42
0.752589475,25450,52
0.777676937,44396,80
0.802771858,27542,50
0.827858908,27760,115
0.852946369,27015,29
0.878032641,25995,66
0.903120112,38645,45
0.928206352,26380,43
0.953293794,37739,18
0.978379985,26976,30
1.003466957,30057,253
1.028554528,27904,32
1.053640798,22883,29
1.078729400,37801,49
1.103815432,36040,61
1.128903092,33772,32
1.153989183,28658,41
1.179076034,42757,184
1.204163586,27296,57
1.229249658,24510,58
1.254337298,37326,51
1.259040532,8656039,6123
