time,L1-icache-loads,L1-icache-load-misses
0.025069882,5431185,10069
0.050175883,31372,42
0.075264725,141571,85
0.100353067,27445,61
0.125439508,21569,29
0.150527401,32273,57
0.175613862,28554,57
0.200701824,30161,37
0.225788406,27359,58
0.250876317,126892,49
0.275963619,25662,43
0.301050021,22953,34
0.326137922,30908,35
0.351224694,29101,56
0.376312825,33496,129
0.401399417,29499,50
0.426487538,70513,23
0.451574020,29797,47
0.476660502,24173,69
0.501748213,29727,20
0.526834805,46479,21
0.551928416,40785,56
0.577014948,28217,42
0.602102799,58517,21
0.627189271,27373,41
0.652275762,29663,140
0.677363704,30538,33
0.702450406,21884,36
0.727538347,38874,44
0.752624789,29235,61
0.777712750,45926,32
0.802806422,26483,42
0.827893883,28002,138
0.852982006,27702,60
0.878069237,21884,48
0.903157170,36350,51
0.928243471,29010,61
0.953331483,38680,26
0.978418094,25176,35
1.003505576,30150,230
1.028593588,28208,29
1.053680089,25938,29
1.078768071,47619,72
1.103854472,29967,82
1.128942504,34662,28
1.154029065,27928,40
1.179116297,34101,207
1.204204119,28552,36
1.229290480,27606,62
1.254378192,33084,40
1.269029180,1341214,6817
