time,L1-icache-loads,L1-icache-load-misses
0.025057412,5458534,10431
0.050145353,46255,72
0.075215055,129279,79
0.100280996,25554,27
0.125345066,29721,20
0.150409028,31736,37
0.175471180,29078,43
0.200534302,28115,30
0.225595963,25366,30
0.250672095,78348,9
0.275758216,26905,67
0.300844348,24043,51
0.325931958,30266,54
0.351018109,29829,46
0.376105561,26705,18
0.401191722,25872,28
0.426279334,56835,21
0.451366116,27536,65
0.476452337,25208,48
0.501539879,29372,59
0.526626990,21840,38
0.551714532,40715,34
0.576800792,26065,27
0.601888583,50388,37
0.626974715,30113,47
0.652060816,27692,43
0.677148208,28990,51
0.702234509,22464,47
0.727323161,36781,63
0.752409322,30582,63
0.777496923,40322,23
0.802590304,28258,33
0.827677526,29287,115
0.852765127,26909,27
0.877852109,22815,43
0.902939590,34736,57
0.928025572,26916,55
0.953113113,34675,21
0.978199255,27251,37
1.003286225,32221,115
1.028373896,23717,40
1.053459938,23471,26
1.078547659,32983,31
1.103633841,28414,49
1.128721353,30606,27
1.153807514,33853,54
1.178894446,7834,114
1.203986697,33493,32
1.229072638,24987,40
1.254160049,35985,43
1.258912493,<not counted>,<not counted>
