time,L1-icache-loads,L1-icache-load-misses
0.025071000,817251,2676
0.050178012,92709,259
0.075266962,409871,918
0.100359424,826529,1811
0.125458494,2768508,4892
0.150552615,3761128,6361
0.175640615,4017440,7382
0.200729316,4351018,7201
0.225817257,3040940,7233
0.250905706,7573867,7060
0.275993558,3027472,7202
0.301081188,3032854,7203
0.326168819,3097113,7215
0.351256409,3048665,7398
0.376344051,3032424,7222
0.401431720,12026257,6709
0.426519712,3105052,7248
0.451607442,3046480,7165
0.476695062,3035673,7066
0.501782543,3029116,7094
0.526870143,3100403,7141
0.551957745,2987500,7206
0.577045274,2936472,7457
0.602133606,2970080,7394
0.627221186,3016100,7235
0.652308867,2999393,7087
0.677396967,21041378,6066
0.702485339,3037457,7496
0.727572808,3050381,7246
0.752669929,3092451,7263
0.777757430,3033855,7124
0.802845100,3044532,7226
0.827932701,3099033,7238
0.853020311,2968007,7232
0.878107892,3007510,7227
0.903195532,3092580,7271
0.928283184,3049050,7325
0.953370724,3037254,7234
0.978458435,3040647,7191
1.003546155,3029657,7272
1.028633775,3095590,7095
1.053721426,3036896,7151
1.078809126,3041120,7296
1.103896728,2389980,4683
1.128983127,26315,25
1.154070659,42227,24
1.179156659,28384,29
1.204243500,21775,8
1.229330830,34930,23
1.254563851,123434,453
1.259396743,7182372,1180
