time,L1-icache-loads,L1-icache-load-misses
0.025070910,821690,2756
0.050178860,<not counted>,<not counted>
0.075268982,<not counted>,<not counted>
0.100360429,<not counted>,<not counted>
0.125454523,<not counted>,<not counted>
0.150554222,795880,1892
0.175665894,2853637,4704
0.200767893,3404127,5180
0.225855965,2916811,6634
0.250944015,5246777,6977
0.276032046,2920633,6925
0.301121286,5900172,6499
0.326209518,4539390,6613
0.351297577,2921970,6659
0.376385768,2988228,6736
0.401473919,2932584,6654
0.426563320,444990,1136
0.451655782,975888,2439
0.476747961,1842575,4405
0.501836632,12118701,5953
0.526924782,2933534,7215
0.552012634,2984240,7003
0.577100624,2929624,6527
0.602188455,2832266,6597
0.627276325,2887078,6536
0.652364227,2819380,6675
0.677452036,2994215,7217
0.702539948,2937340,6816
0.727627708,2926114,6615
0.752715489,2923127,6565
0.777813759,21235498,4239
0.802904321,2922587,6551
0.827992260,2978255,6817
0.853080111,2925277,6634
0.878167972,2955784,6796
0.903255823,2893286,6615
0.928343703,2925326,6777
0.953431603,2987985,6803
0.978519564,2930847,6758
1.003607544,2929194,6734
1.028695766,2998095,6859
1.053783746,2822281,6971
1.078871837,3007883,6545
1.103959657,2926674,6508
1.129047478,2924614,6594
1.154135248,2991092,6608
1.179223370,2939524,6486
1.204311660,2694408,4468
1.229398301,29288,13
1.254486551,80932,41
1.279572882,29118,16
1.304659852,25316,26
1.329747804,32178,20
1.354833994,5964150,3054
1.357777878,4384410,307
