time,L1-icache-loads,L1-icache-load-misses
0.025069861,6262741,11746
0.050172363,41406,75
0.075259915,20981,51
0.100347446,26923,40
0.125433628,22790,65
0.150521409,35562,38
0.175609381,34527,55
0.200698242,36063,50
0.225784574,27624,71
0.250871725,26625,32
0.275958747,27123,60
0.301044959,19114,29
0.326132540,36852,212
0.351218962,26363,62
0.376306613,34035,21
0.401392935,24062,52
0.426480636,116811,59
0.451567688,26609,43
0.476654280,35375,74
0.501742041,42246,54
0.526828273,27048,73
0.551916014,33257,23
0.577002316,24142,39
0.602090047,148268,32
0.627176949,27834,51
0.652263180,21752,56
0.677350912,36639,65
0.702436914,27854,39
0.727524575,32274,31
0.752610887,24214,46
0.777706338,124168,45
0.802793310,29141,42
0.827879541,22329,77
0.852967213,29771,48
0.878053375,28444,59
0.903140966,27773,43
0.928227778,29365,84
0.953315919,73128,51
0.978402101,35698,107
1.003488352,23674,66
1.028575844,30204,36
1.053662035,29153,65
1.078749617,25938,37
1.103835899,25917,35
1.128923380,57035,43
1.154009573,30050,40
1.179095644,26035,50
1.204183155,29746,48
1.229269178,23479,49
1.254356699,38755,48
1.274540148,852405,2458
