time,L1-icache-loads,L1-icache-load-misses
0.025069552,2272912,5878
0.050163982,3853472,6642
0.075253153,4058854,6440
0.100341293,5248348,6574
0.125429695,2924865,6393
0.150518004,2993949,6350
0.175606626,7560240,6155
0.200694936,2969813,6436
0.225783007,2867923,6498
0.250871077,2922496,6548
0.275959299,2862260,6569
0.301046379,12079793,5394
0.326134330,2915487,6659
0.351222400,2985681,6479
0.376310791,2887181,6604
0.401399591,2913482,6631
0.426487863,2858649,6669
0.451575843,2919957,6611
0.476663814,2852123,6502
0.501751824,2919640,6626
0.526839836,2834275,6752
0.551928305,2983089,6623
0.577016097,21167850,4387
0.602106737,2973909,6720
0.627195088,2925593,6731
0.652283308,2948893,6663
0.677372670,2890399,6702
0.702460889,2938384,6800
0.727549001,2863546,6743
0.752647641,2931189,6687
0.777735812,2871398,6731
0.802823882,2946573,6784
0.827913024,2921795,6525
0.853001194,2921755,6390
0.878089815,2979250,6595
0.903177655,2845753,6755
0.928265626,2882114,6609
0.953353806,2832250,6561
0.978441348,2870697,6585
1.003517817,2220666,4455
1.028604439,29365,42
1.053692309,38292,23
1.078778710,28345,26
1.103866690,40091,29
1.128953452,29657,18
1.154041142,33178,115
1.161485411,7218508,1282
