time,L1-icache-loads,L1-icache-load-misses
0.025059793,5326614,10427
0.050163075,48015,67
0.075251658,137513,51
0.100339840,27598,25
0.125426503,28278,17
0.150514515,32785,30
0.175601138,28091,27
0.200690240,35613,43
0.225776853,24678,32
0.250864744,126783,26
0.275952108,26398,30
0.301039599,29587,91
0.326127433,31852,21
0.351213984,31525,34
0.376301968,28938,33
0.401388429,25209,30
0.426476432,82228,29
0.451562954,27563,35
0.476649297,23079,24
0.501737289,32909,47
0.526823732,30102,30
0.551911734,27138,29
0.576998217,26951,26
0.602086329,68182,171
0.627172842,27774,30
0.652259354,25019,59
0.677347077,34751,43
0.702433518,21113,31
0.727521632,40030,47
0.752608103,27266,58
0.777695897,51756,71
0.802790058,30001,52
0.827876462,26419,76
0.852964263,37782,85
0.878051446,24081,60
0.903140348,37796,62
0.928226811,26465,36
0.953314703,42876,47
0.978401256,29245,41
1.003489318,28252,184
1.028577261,28289,42
1.053663703,23662,45
1.078751536,35681,33
1.103838058,27529,60
1.128925931,36890,18
1.154012342,30988,50
1.179099666,31402,184
1.204187517,30122,45
1.229274141,23319,44
1.254362032,34640,33
1.279448436,27939,50
1.281193756,539807,992
