time,L1-icache-loads,L1-icache-load-misses
0.025069642,5608325,10488
0.050172522,29818,54
0.075260703,137294,96
0.100348214,27249,26
0.125434566,26254,44
0.150522176,33307,38
0.175609667,28337,44
0.200697419,35089,54
0.225783581,24491,46
0.250871290,126391,36
0.275959042,27061,35
0.301045283,27597,40
0.326122395,33488,77
0.351209075,28796,46
0.376296916,29165,48
0.401383158,25013,45
0.426470960,81613,52
0.451564939,27427,38
0.476670521,23630,48
0.501758282,33267,54
0.526845384,31086,48
0.551933084,27082,40
0.577019425,24923,50
0.602107237,66845,49
0.627193498,27594,47
0.652279838,24746,74
0.677367620,32543,52
0.702454001,20957,51
0.727542652,39924,45
0.752629033,22007,42
0.777717624,53002,42
0.802811306,28975,51
0.827897737,27061,57
0.852985547,30373,48
0.878071899,21309,53
0.903159840,37166,48
0.928246241,26408,60
0.953334152,43313,43
0.978420613,28917,92
1.003507995,28178,415
1.028596025,30139,40
1.053682416,22008,38
1.078770238,35484,40
1.103856719,27194,54
1.128944430,36885,22
1.154030931,29302,50
1.179118152,31242,253
1.204205904,27965,33
1.229292344,23428,37
1.254380035,34892,39
1.276834871,899206,2051
