time,L1-icache-loads,L1-icache-load-misses
0.025070065,4476391,10165
0.050175692,4603556,9594
0.075264517,5506392,8730
0.100353074,3802385,10016
0.125441039,3603924,9977
0.150529134,8292184,9361
0.175617911,3693209,10278
0.200706166,3589851,10066
0.225794422,3288397,9247
0.250880688,3315621,9212
0.275968893,12838268,8385
0.301057228,3843742,10141
0.326145405,3367331,9178
0.351234260,3400920,9335
0.376320397,3416832,9344
0.401406482,3078878,8777
0.426494647,3383791,9403
0.451582654,3342067,9265
0.476671549,3490674,9294
0.501757815,3310431,9266
0.526846511,10476645,7499
0.551934986,14940637,8316
0.577023041,3497688,9655
0.602109378,3550020,9754
0.627197473,3499827,9790
0.652283690,3436968,9902
0.677371725,3497856,9968
0.702459650,3362930,9578
0.727547587,3016849,8646
0.752645982,3256695,9441
0.777732288,3194278,8961
0.802820434,3259412,9246
0.827907429,3211728,8957
0.852995904,3255862,8931
0.878082171,3295652,9283
0.903170136,3012334,8325
0.928258183,3332624,9156
0.953346138,3394805,9155
0.978432393,3402486,9562
1.003518610,3333911,9211
1.028606615,3381727,9137
1.053694480,3386443,9387
1.078784357,26129815,4161
1.103883272,17281203,7229
1.128971517,4487397,11296
1.154057864,3329646,9276
1.179145819,3389281,9663
1.204231946,3316827,9454
1.229319811,3387270,9400
1.254407806,3412265,9653
1.279485933,2919045,8507
1.304574178,155596,158
1.329661393,38518,48
1.354748470,22212,0
1.379836535,37681,14
1.404922810,31532,13
1.430010677,35075,11
1.436803110,10166088,462
