time,L1-icache-loads,L1-icache-load-misses
0.025059142,5056705,10455
0.050153543,26950,69
0.075225865,188691,94
0.100295317,26961,78
0.125362648,21715,93
0.150430710,35819,82
0.175497702,29158,70
0.200565853,28487,48
0.225632965,25794,39
0.250700617,79108,80
0.275767478,30802,61
0.300834470,24270,93
0.325902212,30330,77
0.350968683,29926,75
0.376036745,27102,115
0.401104637,26616,46
0.426172638,56083,38
0.451239180,29632,53
0.476305712,26149,148
0.501373783,29213,69
0.526440605,22694,43
0.551508117,37523,52
0.576574268,28253,55
0.601642080,45760,62
0.626708282,29739,50
0.651775633,60239,563
0.676844075,31166,56
0.701910777,22765,54
0.726978158,35909,128
0.752045180,28744,74
0.777113052,34967,54
0.802185023,28930,50
0.827252805,31948,609
0.852320307,26323,49
0.877386228,24135,89
0.902453600,37621,68
0.927520082,30778,83
0.952589553,30572,47
0.977657755,28182,57
1.002725067,8503,77
1.027792318,32848,45
1.052858290,25254,59
1.077925292,31448,51
1.102991403,35067,72
1.128058755,26574,62
1.153124557,27380,56
1.178191018,9310,109
1.203258130,34671,51
1.228324341,27521,65
1.253391422,30385,47
1.276039448,977863,2604
