time,L1-icache-loads,L1-icache-load-misses
0.025070162,5414515,10315
0.050173443,20457,49
0.075261935,110876,92
0.100350037,27467,42
0.125436560,26758,60
0.150524311,34191,60
0.175616893,27842,66
0.200705674,30137,62
0.225792086,26781,62
0.250879939,125353,37
0.275967271,26459,57
0.301054792,21859,39
0.326142654,34673,60
0.351228995,28644,69
0.376316938,28881,26
0.401404330,26690,52
0.426492222,87249,53
0.451578693,27827,51
0.476664905,22915,46
0.501752657,33009,40
0.526839180,32172,63
0.551926831,26934,34
0.577013103,25041,43
0.602101005,70343,40
0.627187526,29491,50
0.652274799,27900,57
0.677362461,32901,52
0.702448813,21298,31
0.727536554,39449,35
0.752622846,26578,62
0.777710678,52360,55
0.802813850,28777,56
0.827900072,25824,73
0.852988504,31059,59
0.878074825,21547,46
0.903163427,36943,44
0.928249750,25890,42
0.953337642,44225,19
0.978424143,28962,40
1.003513265,52310,970
1.028601776,35355,60
1.053687998,24974,49
1.078775571,35177,58
1.103861743,26702,52
1.128949364,37258,22
1.154036666,33691,55
1.179124687,34795,184
1.204212391,28300,93
1.229298692,23386,66
1.254386414,35601,49
1.275171849,926447,2530
