time,L1-icache-loads,L1-icache-load-misses
0.025069951,3442531,8495
0.050174741,4829828,7746
0.075263011,2975084,7947
0.100351212,5321765,7449
0.125439004,2982943,7912
0.150526704,7453741,7253
0.175615134,2973038,7946
0.200702915,2917687,7891
0.225790595,2987881,7830
0.250878266,2917608,7891
0.275965956,2980748,7804
0.301053688,12063896,6214
0.326141548,2987477,8030
0.351229178,2915816,8263
0.376316959,2988687,8215
0.401404719,2924091,8003
0.426493720,2907252,8003
0.451581430,2983688,7998
0.476668972,2872775,7925
0.501756501,2896893,8434
0.526844052,2921403,8306
0.551931703,2893017,7728
0.577019353,21172262,4749
0.602108504,2962090,8184
0.627196294,2988127,8280
0.652285006,2928638,8324
0.677373735,2992753,8205
0.702461316,2923415,8141
0.727548847,2980694,8244
0.752647036,2889646,7917
0.777734658,2935771,8165
0.802822378,2919299,8278
0.827910099,2926432,8286
0.852997819,2981936,7912
0.878085400,2916691,8093
0.903173161,2980388,8068
0.928262060,2919259,8149
0.953349572,2958108,7978
0.978438892,2941603,8199
1.003516093,2351397,4678
1.028602333,29242,34
1.053689284,30052,12
1.078776444,40669,65
1.103862655,20081,22
1.128950276,40712,46
1.153463909,13568083,3574
