time,L1-icache-loads,L1-icache-load-misses
0.025069860,6321454,11786
0.050174652,39669,146
0.075263033,135884,62
0.100350723,24530,48
0.125437005,28177,101
0.150524966,32763,38
0.175611457,29548,66
0.200699318,28633,41
0.225785749,26288,45
0.250873511,86581,62
0.275959802,25582,46
0.301046092,33563,48
0.326133894,33987,64
0.351220275,29988,72
0.376308256,27239,34
0.401394587,25639,33
0.426482308,62285,44
0.451568620,27316,35
0.476654921,24774,74
0.501742491,32479,53
0.526828753,21935,41
0.551916404,38390,59
0.577002564,25761,55
0.602090096,54855,46
0.627175857,29209,58
0.652262028,26899,77
0.677349708,32237,48
0.702435990,22680,43
0.727523572,40015,48
0.752609932,25681,60
0.777697453,42455,35
0.802790554,28590,58
0.827877666,28062,207
0.852966647,27317,77
0.878054347,22197,63
0.903141689,35034,64
0.928228000,26539,39
0.953315540,37453,44
0.978401712,30016,52
1.003488793,30517,207
1.028576374,28174,50
1.053662475,23448,22
1.078750256,33575,99
1.103836408,27350,60
1.128924039,32383,31
1.154010319,30921,59
1.179097241,34256,115
1.204184852,27806,34
1.229272313,35831,215
1.254360104,32747,49
1.260133912,<not counted>,<not counted>
