time,L1-icache-loads,L1-icache-load-misses
0.025057811,7712925,13099
0.050146255,42484,68
0.075213577,17589,46
0.100278390,27566,58
0.125341713,34500,72
0.150406625,28588,32
0.175468789,25162,42
0.200532090,46072,66
0.225594094,26968,37
0.250669927,18450,7
0.275756989,30060,46
0.300843492,36209,112
0.325931684,26713,42
0.351018097,25788,49
0.376105850,36334,76
0.401192292,26929,55
0.426279545,21063,34
0.451366717,28287,56
0.476452930,19345,27
0.501541043,40207,49
0.526627355,28434,51
0.551715158,33132,46
0.576801460,23231,26
0.601889413,126925,74
0.626976566,27946,46
0.652052308,19615,23
0.677140091,37047,58
0.702226303,28461,61
0.727314176,32077,47
0.752400600,24899,49
0.777488551,157075,62
0.802582974,26872,38
0.827669146,21773,35
0.852757159,33953,62
0.877843391,27421,77
0.902931544,29365,47
0.928017788,23750,34
0.953105619,123212,46
0.978192822,28145,48
1.003279794,21548,81
1.028367737,33249,51
1.053454121,27877,40
1.078541772,28014,46
1.103628066,24704,45
1.128715777,83800,53
1.153802050,30636,40
1.178888384,23451,12
1.203976245,31003,32
1.229062669,29372,36
1.254151510,23887,49
1.275091096,822313,2197
