time,L1-icache-loads,L1-icache-load-misses
0.025058192,4541893,9416
0.050148322,4050707,7469
0.075218253,5243815,7359
0.100283904,2899893,7317
0.125347975,2920762,6848
0.150411636,7471028,6195
0.175475138,2972785,7173
0.200538368,2918590,7102
0.225601480,2921458,7046
0.250678011,2979032,7018
0.275765871,2924532,6734
0.300853593,12054561,5509
0.325941503,2993201,6738
0.351029174,2917816,6682
0.376117015,2933052,6742
0.401204646,2979727,6810
0.426292317,2917558,6730
0.451379878,2920819,7011
0.476467528,2914577,6798
0.501555070,2986144,6761
0.526642711,2924410,6796
0.551730581,4317221,6675
0.576820273,19850388,4964
0.601911484,2986616,7177
0.626999394,2926715,7050
0.652087086,2935228,6942
0.677174837,2991386,6936
0.702262387,2937172,6838
0.727350078,2935691,6915
0.752447629,2990570,6895
0.777535830,2933169,7151
0.802623621,2923588,6918
0.827711503,2923260,6979
0.852799253,2982773,6948
0.877886954,2932458,6683
0.902974664,2922514,6836
0.928062316,3002454,6973
0.953150157,2931740,6735
0.978238047,2927498,6789
1.003331908,482676,1357
1.028425650,1991605,2488
1.053512270,28893,16
1.078600061,11626,47
1.103687433,33809,21
1.128773483,33948,53
1.153861294,33924,19
1.176853847,12015502,2957
