time,L1-icache-loads,L1-icache-load-misses
0.025069842,11060676,15485
0.050172825,32258,51
0.075260877,9868,55
0.100348440,33815,35
0.125434823,30027,84
0.150522675,31927,46
0.175609008,46357,101
0.200697010,26858,60
0.225783333,27647,43
0.250870586,10480,43
0.275957818,30759,51
0.301044281,30455,59
0.326132063,32364,45
0.351218336,34284,113
0.376306250,52105,60
0.401392801,27382,40
0.426480104,10370,23
0.451567836,31354,43
0.476654139,27201,44
0.501741763,32386,52
0.526828854,23556,39
0.551916458,45554,37
0.577002709,28916,40
0.602089692,25132,59
0.627176826,30541,50
0.652263027,28873,74
0.677350641,32015,50
0.702436812,24134,48
0.727524476,42442,22
0.752617658,26483,58
0.777711850,16421,17
0.802799024,37741,82
0.827885205,29101,57
0.852972919,26306,52
0.878059091,24658,40
0.903147494,37814,31
0.928233917,28834,60
0.953321118,19222,38
0.978408212,30684,52
1.003494503,18728,37
1.028582327,35448,56
1.053668590,25061,44
1.078756252,37451,48
1.103842415,26697,58
1.128929586,22209,27
1.154016540,38423,156
1.179102923,50178,35
1.204190575,35345,48
1.229276938,26301,59
1.254364890,34069,124
1.279451183,25747,40
1.282331377,147926,1025
