time,L1-icache-loads,L1-icache-load-misses
0.025069620,8068191,13382
0.050177471,50658,69
0.075265453,20616,44
0.100353102,28836,31
0.125439674,23253,51
0.150527645,35393,59
0.175613975,25762,44
0.200701617,34981,48
0.225788097,27671,43
0.250876848,25490,46
0.275965319,27692,40
0.301051650,19149,21
0.326139511,36838,62
0.351225982,20714,67
0.376313872,34091,43
0.401400304,24078,26
0.426488284,119872,30
0.451576325,28945,55
0.476662616,19695,16
0.501750387,35427,60
0.526836798,27495,64
0.551924428,31349,35
0.577010710,24300,45
0.602098211,157808,22
0.627185391,28032,52
0.652271653,23758,64
0.677359322,35476,55
0.702445454,40063,157
0.727533295,30147,54
0.752619565,25156,39
0.777715457,121932,40
0.802802487,28003,50
0.827888848,21816,21
0.852976380,22703,58
0.878062680,28736,47
0.903150451,27681,32
0.928236722,24505,40
0.953324413,79505,18
0.978410544,29412,50
1.003496854,23348,64
1.028584235,30523,25
1.053670627,47140,169
1.078758487,26574,35
1.103844728,25209,31
1.128933058,59649,22
1.154019440,29546,43
1.179105781,25652,48
1.204193501,42826,111
1.229279983,21499,35
1.254367672,38905,59
1.259968522,<not counted>,<not counted>
