time,L1-icache-loads,L1-icache-load-misses
0.025073781,9862021,14729
0.050209841,42217,110
0.075297512,15258,81
0.100385164,29895,33
0.125471406,34069,89
0.150560297,27463,290
0.175646379,25093,79
0.200734020,49061,123
0.225820491,27552,43
0.250907752,17562,71
0.275994803,28947,52
0.301082835,36322,110
0.326172166,26814,56
0.351258558,33530,134
0.376346249,37678,85
0.401432481,27085,73
0.426519642,19878,49
0.451606762,28840,53
0.476682564,18199,20
0.501770506,37402,89
0.526856707,26270,55
0.551944269,34181,57
0.577030970,27524,65
0.602118091,26851,38
0.627205172,28648,61
0.652291413,20430,37
0.677378885,37188,73
0.702465076,29116,74
0.727552538,32411,40
0.752638809,24639,54
0.777735071,154959,75
0.802822142,27222,56
0.827908282,20209,25
0.852996004,58412,183
0.878082405,27317,74
0.903170147,29682,59
0.928256269,39467,161
0.953344060,131972,53
0.978431081,28737,61
1.003517752,21517,19
1.028605573,31618,53
1.053691765,27917,60
1.078779356,28235,37
1.103865498,24643,57
1.128953019,90217,53
1.154040360,33968,56
1.179126272,23556,35
1.204213792,31957,56
1.229300074,29699,42
1.254387875,27703,25
1.270407886,947164,3014
