time,L1-icache-loads,L1-icache-load-misses
0.025058250,6218263,11764
0.050146821,42177,86
0.075215693,164962,151
0.100280373,26224,63
0.125343274,28121,67
0.150407825,31860,28
0.175469956,29952,53
0.200533068,32008,32
0.225595568,25472,27
0.250673069,67570,27
0.275759490,28106,31
0.300845871,30717,86
0.325933672,30272,57
0.351019922,21714,66
0.376107554,39475,74
0.401193744,25970,64
0.426281915,51626,33
0.451367966,27242,66
0.476454126,26114,36
0.501541748,31718,52
0.526627869,22544,36
0.551715459,37152,34
0.576802221,26220,43
0.601890021,47206,23
0.626976232,27268,22
0.652063383,119832,184
0.677151053,32395,69
0.702237155,22493,35
0.727324775,35847,81
0.752410976,26814,37
0.777498727,33771,58
0.802592648,23830,45
0.827680989,123383,38
0.852767889,26100,48
0.877854051,19830,36
0.902941852,45491,85
0.928028142,27478,70
0.953115804,29306,31
0.978201924,24519,26
1.003289695,133811,46
1.028376716,27312,36
1.053463006,21986,31
1.078550428,33454,44
1.103636638,28814,32
1.128724249,28821,37
1.153810811,25431,30
1.178898381,80861,28
1.203984662,29723,37
1.229070802,23443,12
1.254158544,32937,45
1.260512298,<not counted>,<not counted>
