time,L1-icache-loads,L1-icache-load-misses
0.025058533,11518542,15644
0.050165476,36526,57
0.075253500,9209,132
0.100340993,33116,48
0.125427426,29367,97
0.150515330,32010,33
0.175601933,29308,55
0.200689846,26965,57
0.225776240,27206,76
0.250863623,10027,73
0.275950846,30905,66
0.301037889,25899,99
0.326125773,30880,41
0.351212356,24995,51
0.376300289,49751,81
0.401386663,27050,42
0.426474076,10193,107
0.451561289,31169,46
0.476647703,27051,53
0.501734346,32531,57
0.526820699,23667,44
0.551909233,44406,49
0.576995456,26980,54
0.602082539,25601,30
0.627169983,30615,47
0.652256406,28576,63
0.677344079,32777,54
0.702430393,24276,41
0.727520426,41773,44
0.752609459,33387,104
0.777705193,18190,17
0.802792426,32271,57
0.827878789,29271,57
0.852966443,26610,44
0.878052706,24478,45
0.903140269,37804,42
0.928226593,26538,49
0.953313836,18661,15
0.978401119,30327,53
1.003487403,17448,37
1.028580886,52674,103
1.053667329,25705,76
1.078755193,36135,53
1.103841576,30406,67
1.128928779,21115,20
1.154015793,30938,58
1.179102086,18727,41
1.204189769,35614,47
1.229275953,26545,56
1.254363416,34154,46
1.279449809,25455,67
1.281744567,215226,1106
