time,L1-icache-loads,L1-icache-load-misses
0.025027691,1573249,4407
0.050124122,3996659,6564
0.075200833,4037200,6180
0.100268814,5177337,6126
0.125335174,2880283,6072
0.150401286,2955664,6006
0.175467146,7428256,5886
0.200533148,2874759,5950
0.225598748,2893175,5995
0.250664119,2888402,6077
0.275729710,2956479,6125
0.300795381,9143103,5379
0.325862602,5785980,5775
0.350930912,2888935,5985
0.375996143,2884854,5712
0.401061454,2889979,5931
0.426126925,2875638,6018
0.451192276,2846248,6048
0.476257307,2892956,5970
0.501323337,2835660,6168
0.526392239,2810688,6013
0.551458439,2804481,6043
0.576524560,11135732,5555
0.601596930,12929486,5115
0.626675802,2892719,6369
0.651743562,2892460,6526
0.676809894,2889430,6392
0.701875835,2896878,6430
0.726941685,2890713,6444
0.752016597,2894806,6386
0.777083087,2908280,6220
0.802148728,2939811,6420
0.827214458,2881318,6416
0.852279770,2845370,6547
0.877347610,2895088,6343
0.902413532,2880813,6314
0.927478902,2887713,6343
0.952544053,2876288,6318
0.977609305,2888396,6377
1.002675135,2887983,6411
1.027744666,534126,3756
1.052833586,35273,18
1.077921048,32632,92
1.103008938,34152,24
1.128095389,28434,24
1.153183049,41461,19
1.175575505,4397465,2868
