time,L1-icache-loads,L1-icache-load-misses
0.025069763,7150271,12498
0.050205258,29950,39
0.075293211,16241,16
0.100380986,31783,38
0.125467500,34726,110
0.150557063,27322,54
0.175644648,25059,35
0.200732261,37529,131
0.225818516,29644,40
0.250905540,19731,7
0.275992515,28117,32
0.301078768,17998,44
0.326166263,41119,45
0.351252537,27485,47
0.376339940,35452,48
0.401426045,27405,70
0.426513408,49737,33
0.451600703,28728,52
0.476686897,18576,28
0.501774702,36400,56
0.526860955,29219,43
0.551948620,32856,24
0.577034934,23203,18
0.602122607,125050,12
0.627209732,30327,61
0.652295885,20925,56
0.677383490,33618,56
0.702469874,27227,35
0.727557478,31380,21
0.752643702,24634,46
0.777731285,123601,88
0.802824141,28595,63
0.827910354,20532,36
0.852998309,34434,45
0.878084502,27633,67
0.903172487,28624,36
0.928258541,24040,48
0.953346044,122867,25
0.978432969,28166,57
1.003518902,21837,31
1.028606418,39791,98
1.053692521,28997,52
1.078779946,27592,17
1.103866009,27928,47
1.128953343,75789,37
1.154039568,31719,55
1.179126591,43573,51
1.204213966,32722,51
1.229300029,31765,70
1.254387345,26368,33
1.275420630,812242,1982
