time,L1-icache-loads,L1-icache-load-misses
0.025069624,5293973,10551
0.050173447,38569,80
0.075261758,122969,33
0.100349452,26717,43
0.125435785,29751,62
0.150523768,33085,34
0.175610152,28482,55
0.200697783,29459,52
0.225784057,24598,28
0.250871690,125023,41
0.275958903,25731,48
0.301045287,22083,41
0.326132960,34376,52
0.351219312,29064,58
0.376306865,28118,46
0.401393148,25023,35
0.426481381,77955,38
0.451567105,26976,57
0.476653417,23103,62
0.501740960,33366,47
0.526827203,29952,46
0.551914746,26157,42
0.577001060,26910,43
0.602088763,65187,35
0.627175005,30280,43
0.652261088,25209,93
0.677348531,33086,35
0.702434775,21729,45
0.727522288,38388,45
0.752608481,26978,41
0.777696133,50490,49
0.802789156,28633,56
0.827875519,26402,102
0.852963203,27979,45
0.878049396,23683,37
0.903137038,36616,45
0.928223301,34979,90
0.953310854,46430,70
0.978397028,28857,53
1.003484101,28705,207
1.028571804,28871,31
1.053658106,22809,25
1.078745719,34305,38
1.103832183,26730,51
1.128919806,35372,11
1.154006089,30389,33
1.179093041,31937,184
1.204180744,27608,29
1.229266987,23795,41
1.254354561,33848,29
1.279440964,32509,70
1.282799206,540361,1086
