time,L1-icache-loads,L1-icache-load-misses
0.025058189,850541,2844
0.050147149,3007023,7247
0.075215458,5240875,9912
0.100281417,6197812,10670
0.125345676,4126682,11498
0.150410066,3368721,9555
0.175475945,8502280,10004
0.200544794,3666872,10225
0.225625294,3791576,10910
0.250714083,3563362,9845
0.275802102,12702730,8396
0.300890640,4124097,10971
0.325978530,4120976,10952
0.351066439,4135773,10713
0.376154778,4008546,11093
0.401242897,3360701,10347
0.426336645,337811,942
0.451430286,350272,1051
0.476521154,1468514,4180
0.501614953,3255783,8763
0.526702592,3965619,11660
0.551790472,4196350,10584
0.576879601,18518031,11736
0.601969609,3286630,9234
0.627057308,3974240,11508
0.652143367,3938667,11571
0.677231867,3949582,11474
0.702319515,3876417,11368
0.727407244,3280244,9950
0.752504773,3675580,10473
0.777590663,3640825,10874
0.802678452,3581732,10245
0.827766231,3532258,9819
0.852854060,3622283,10687
0.877941749,3613338,10518
0.903029348,3463660,9995
0.928117257,3769569,11093
0.953204986,3852117,11180
0.978293005,3764464,11179
1.003380784,3826406,11109
1.028469013,5015001,11072
1.053564552,29315700,3482
1.078674032,12790631,9745
1.103762121,4119670,12457
1.128849700,2111403,6494
1.153937518,3842318,12002
1.179025337,3783413,12040
1.204113197,3850508,11820
1.229201076,3849988,12120
1.254289094,3293843,7894
1.279375393,27697,12
1.304463212,55197,24
1.329549191,29166,13
1.354636421,13488,25
1.379723459,36016,11
1.395865335,24515059,1356
