time,L1-icache-loads,L1-icache-load-misses
0.025069581,7433071,12899
0.050173563,34866,64
0.075261414,23439,34
0.100348906,28372,53
0.125435186,23375,27
0.150522887,35531,58
0.175609529,26782,58
0.200697040,39856,74
0.225788272,27927,61
0.250875242,30609,37
0.275962503,25719,51
0.301048865,27669,122
0.326136506,36063,67
0.351222747,28280,53
0.376310268,53699,130
0.401396519,24568,35
0.426484191,119477,51
0.451571242,27929,42
0.476657393,20455,43
0.501744904,35050,71
0.526831135,27651,52
0.551918547,30894,45
0.577004628,24392,54
0.602091948,133571,36
0.627178900,27508,57
0.652264971,22053,50
0.677352243,35090,51
0.702438624,28635,46
0.727526234,24992,50
0.752612186,32512,104
0.777707957,87071,58
0.802794128,28342,40
0.827880190,22988,35
0.852967530,32916,26
0.878053322,29407,42
0.903140773,26555,25
0.928226874,25387,29
0.953314435,65711,36
0.978400606,28314,40
1.003486688,24490,29
1.028574129,30185,39
1.053660399,20482,35
1.078747891,39175,37
1.103834052,26805,33
1.128921504,53033,21
1.154007715,29009,41
1.179093905,26881,57
1.204181257,29508,36
1.229267308,21735,46
1.254354620,37292,38
1.259766370,<not counted>,<not counted>
