time,L1-icache-loads,L1-icache-load-misses
0.025069629,5128778,12115
0.050173300,4548806,9979
0.075262689,5765673,9516
0.100351210,3403299,9943
0.125439290,3064523,9037
0.150527300,8278420,9294
0.175618219,3331595,9878
0.200713890,3675529,10160
0.225810649,3363906,10094
0.250898730,3304269,9863
0.275985110,12728461,7825
0.301073280,3723974,10417
0.326161189,3454688,9996
0.351249120,3461945,10541
0.376337200,3348681,10046
0.401425270,3350463,10076
0.426513361,3081176,9423
0.451601550,3186369,9444
0.476689450,3089574,9438
0.501777240,3072916,9548
0.526865790,19668825,11224
0.551954520,4022130,10904
0.577042459,3133994,9116
0.602130500,3195037,9129
0.627216770,2982142,8762
0.652304839,3243765,9539
0.677392660,3234200,9750
0.702480570,3299815,9695
0.727566790,3462667,9785
0.752662649,3362715,9241
0.777750610,3131922,8619
0.802838629,3418848,9417
0.827927070,3407028,9308
0.853015200,3479094,9691
0.878103570,3361186,9392
0.903191939,3407558,9589
0.928280240,3423397,9335
0.953366600,3091638,8660
0.978452780,3258553,9138
1.003539571,3238880,8906
1.028628530,6325249,8338
1.053721160,30003157,3531
1.078828050,10348815,9159
1.103916160,4122706,10663
1.129003910,3409753,9264
1.154091869,3030563,8415
1.179179870,3449350,9917
1.204267690,3488915,10018
1.229355640,3421802,9650
1.254443621,3143170,6633
1.279529900,31428,19
1.304617830,35599,24
1.329703990,30260,19
1.354791261,10800,44
1.379878370,39808,25
1.394942922,24306247,1527
