time,L1-icache-loads,L1-icache-load-misses
0.025069344,8177379,12772
0.050173257,45556,61
0.075261019,15395,41
0.100348882,32646,33
0.125435135,35990,109
0.150522868,32500,39
0.175609280,27109,63
0.200697073,53673,72
0.225783377,29553,87
0.250870610,17410,44
0.275957823,31516,41
0.301044345,37283,96
0.326131998,29755,40
0.351218322,27222,59
0.376306605,42029,42
0.401392866,29462,50
0.426479900,19005,23
0.451567193,33181,53
0.476653386,37734,80
0.501740958,28807,45
0.526827211,28043,39
0.551914825,38093,48
0.577000968,30337,36
0.602088050,23640,34
0.627174903,32424,37
0.652261236,21595,41
0.677348740,41031,42
0.702435121,29318,40
0.727522674,37024,46
0.752608858,27778,39
0.777702161,160892,56
0.802796353,31341,53
0.827882706,23462,46
0.852970449,38383,55
0.878056803,30754,66
0.903144394,35538,49
0.928230647,27305,53
0.953318181,129337,40
0.978405164,33289,53
1.003491566,24837,26
1.028579419,37363,55
1.053665522,32235,55
1.078753086,34469,27
1.103839557,29639,54
1.128926981,155491,57
1.154014144,35981,62
1.179100277,31295,50
1.204188139,41241,50
1.229274352,37897,66
1.254361985,56209,99
1.279448219,24704,54
1.284652420,35877,1029
