time,L1-icache-loads,L1-icache-load-misses
0.025070000,1201788,3736
0.050175021,4096763,7848
0.075263601,4120603,7016
0.100352283,5317555,6791
0.125440432,2929312,7151
0.150528624,2889283,6982
0.175616635,7577836,6472
0.200704945,2974075,7092
0.225793247,2873343,6974
0.250881337,2866171,6895
0.275969658,2853642,6852
0.301057818,7126064,6276
0.326146750,8052269,6324
0.351234990,2843513,6827
0.376323131,2841058,6848
0.401411213,2837741,6778
0.426499732,2911927,6877
0.451587834,2802178,6749
0.476676304,2875330,6535
0.501765245,2878486,6751
0.526856065,2840457,6811
0.551944887,2862674,6808
0.577032897,6566012,6401
0.602120948,18018840,5205
0.627209149,2915962,7036
0.652296929,2878311,7094
0.677384871,2922706,7079
0.702472871,2853400,7083
0.727560802,2837000,7145
0.752657952,2848349,7131
0.777745843,2933341,7203
0.802833974,2843762,7199
0.827921885,2895483,7118
0.853009736,2865746,6961
0.878097746,2911923,7092
0.903185758,2888902,7007
0.928273928,2844043,7296
0.953361969,2839367,7464
0.978450000,2921233,7143
1.003538020,2885719,7210
1.028626202,1950353,3651
1.053712942,33252,38
1.078800163,28195,19
1.103887403,29376,21
1.128973995,19938,7
1.154062105,36083,24
1.178623649,13528945,3621
