time,L1-icache-loads,L1-icache-load-misses
0.025057911,6640287,11991
0.050157213,36621,65
0.075245574,105871,89
0.100333234,27324,47
0.125419636,138379,88
0.150506907,35608,75
0.175593209,29317,57
0.200680909,40193,74
0.225767250,24803,56
0.250855152,126416,38
0.275942403,29532,55
0.301028865,26917,65
0.326116676,42448,97
0.351203026,28072,36
0.376290848,29971,40
0.401377179,24869,30
0.426464991,124544,15
0.451552582,27499,41
0.476638922,22515,54
0.501726434,33408,56
0.526812705,28963,74
0.551900207,28213,32
0.576986497,24968,48
0.602076068,77420,42
0.627163650,27799,46
0.652250021,24447,66
0.677337703,33701,55
0.702423383,30645,74
0.727511044,26253,35
0.752597246,27268,59
0.777684917,58614,52
0.802778199,28369,52
0.827864269,25506,66
0.852951940,31362,43
0.878038322,21048,45
0.903125854,38300,52
0.928212074,27010,47
0.953299895,48835,28
0.978386236,28499,43
1.003472488,27165,112
1.028560600,28853,51
1.053646770,21751,37
1.078734361,36576,49
1.103820423,27172,61
1.128909044,39897,34
1.153995086,29339,43
1.179082035,61108,230
1.204169777,29130,44
1.229256009,23106,54
1.254343710,35435,36
1.259550161,<not counted>,<not counted>
