time,L1-icache-loads,L1-icache-load-misses
0.025069431,1206889,3959
0.050165322,4786651,11211
0.075241704,4628510,10177
0.100310606,5897654,10066
0.125378187,3385504,10443
0.150445008,5426233,10069
0.175511849,6139761,10104
0.200582110,3452467,10311
0.225648772,3383156,10186
0.250715433,3388611,10160
0.275781944,4530810,10346
0.300848445,11844572,8809
0.325915006,3660193,10483
0.350981398,3515255,10879
0.376048950,3523735,10820
0.401116411,3538195,11144
0.426184102,3428141,10873
0.451250783,3391165,10960
0.476317134,3122028,9958
0.501383605,3194130,9840
0.526448577,6681148,9041
0.551515289,18336843,6624
0.576581320,3699967,10637
0.601646891,3270903,9908
0.626713361,3288441,9732
0.651777933,3181995,9760
0.676844585,3053879,9382
0.701913346,3307270,10094
0.726981017,3319681,10063
0.752067968,3378540,10377
0.777135899,3377825,10486
0.802201041,3302882,10264
0.827267253,3321097,10513
0.852333484,3087852,9438
0.877399985,3354861,10519
0.902469216,343456,1018
0.927558976,<not counted>,<not counted>
0.952657787,123295,304
0.977749799,246417,742
1.002840690,1214193,3185
1.027928601,2508381,6474
1.053011052,3769791,10138
1.078078913,3842767,10982
1.103147725,3135793,9661
1.128218527,3362443,10378
1.153285037,6389843,9422
1.178367229,30235375,2968
1.203451280,10035423,9734
1.228527650,4109991,11265
1.253595441,3439330,10090
1.278660383,3182037,9434
1.303728235,3275818,9995
1.328795676,3166071,9775
1.353861777,3445356,10402
1.378928318,3513922,8034
1.404006809,28319,32
1.429095741,53752,29
1.454182032,30983,19
1.479280243,13940,10
1.504367864,46138,57
1.521159448,27099312,1568
