time,L1-icache-loads,L1-icache-load-misses
0.025069613,10560707,14560
0.050173536,30645,72
0.075260990,9576,49
0.100348203,44990,90
0.125435226,31947,105
0.150522878,32404,65
0.175608891,22934,33
0.200696294,51020,30
0.225782408,27595,58
0.250869381,12883,78
0.275956204,30369,42
0.301042288,27044,61
0.326129861,34167,80
0.351215884,23542,58
0.376303337,46732,62
0.401389349,27250,55
0.426476053,23505,108
0.451563066,30612,43
0.476649059,27493,70
0.501736503,31810,63
0.526822456,23871,38
0.551909839,41834,36
0.576995713,27120,46
0.602082565,12589,55
0.627169468,31721,99
0.652255601,29365,60
0.677343164,29120,45
0.702428968,25696,58
0.727516451,39935,56
0.752602454,28456,87
0.777689228,16990,40
0.802781731,30273,65
0.827867834,29589,66
0.852955306,26470,41
0.878041249,24995,58
0.903128542,35817,33
0.928214596,26524,63
0.953301539,22987,64
0.978388542,30312,56
1.003474556,18503,19
1.028562109,44842,115
1.053649671,34482,70
1.078738164,33841,14
1.103824327,28477,46
1.128911141,24653,12
1.153998084,31645,51
1.179084187,19339,22
1.204171731,35033,46
1.229257584,26522,57
1.254345057,32444,28
1.274687856,761579,1824
